app_name,id,developer,Accounting,Action,Adventure,Animation &amp; Modeling,Audio Production,Casual,Design &amp; Illustration,Early Access,Education,Free to Play,Indie,Massively Multiplayer,Photo Editing,RPG,Racing,Simulation,Software Training,Sports,Strategy,Utilities,Video Production,Web Publishing,year
Souland,759920,Ultraint,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2017
Darkness and a Crowd,659780,Seth Albertus,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2018
TAROTICA VOO DOO,603280,TPM.CO SOFT WORKS,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2017
Chronicles of Vinland,753110,Wonderbox Games,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2017
Orbitality,753100,Wonderbox Games,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2017
Atomic Adam: Episode 1,764280,Mad Unicorn Games,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
Mirt. Tales of the Cold Land. Chapter 2,758550,Emanon Studios,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2017
Advent Rising,3800,GlyphX Games,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005
DEFCON,1520,Introversion Software,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2006
The Ship: Single Player,2420,Outerlight Ltd.,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2006
Garry's Mod,4000,Facepunch Studios,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,2006
RACE - The WTCC Game,4230,SimBin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2006
Zen of Sudoku,4900,Unknown Worlds Entertainment,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2006
Gumboy - Crazy Adventures™,2520,"CINEMAX, s.r.o.",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2006
Ghost Master®,6200,Sick Puppies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2003
Vegas: Make It Big™,6210,Deepred,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2006
Dreamfall: The Longest Journey,6300,Funcom,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2006
FlatOut 2™,2990,Bugbear Entertainment,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2006
FlatOut,6220,Bugbear Entertainment,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2005
Lost Planet™: Extreme Condition,6510,"CAPCOM Co., Ltd.",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
CivCity: Rome,3980,"FireFly Studios,Firaxis Games",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2006
Arx Fatalis,1700,Arkane Studios,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2002
The Longest Journey,6310,Funcom,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2000
Civilization IV®: Warlords,3990,Firaxis Games,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2006
Railroad Tycoon 3,7610,PopTop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2003
Sid Meier's Railroads!,7600,"Firaxis Games,Feral Interactive (Mac)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2006
Railroad Tycoon II Platinum,7620,PopTop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1998
RIP - Trilogy™,2540,Elephant Games,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2007
X-COM: Terror From the Deep,7650,"MicroProse Software, Inc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1995
Tomb Raider: Anniversary,8000,"Crystal Dynamics,Feral Interactive (Mac)",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
Devil May Cry® 3 Special Edition,6550,"CAPCOM Co., Ltd.",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006
Sam & Max 101: Culture Shock,8200,Telltale Games,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006
Final DOOM,2290,id Software,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1996
Vigil: Blood Bitterness™,2570,Freegamer,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2007
Sam & Max 102: Situation: Comedy,8210,Telltale Games,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006
Ultimate Doom,2280,id Software,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
Master Levels for Doom II,9160,id Software,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
DOOM II,2300,id Software,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1994
Wolfenstein 3D,2270,id Software,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1994
Return to Castle Wolfenstein,9010,Gray Matter Studios,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001
QUAKE Mission Pack 1: Scourge of Armagon,9040,Ritual Entertainment,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997
Spear of Destiny,9000,id Software,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1993
BloodRayne,3810,Terminal Reality,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003
QUAKE Mission Pack 2: Dissolution of Eternity,9030,Rogue Entertainment,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
QUAKE,2310,id Software,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
Genesis Rising,3230,Metamorf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2007
"Warhammer® 40,000: Dawn of War® – Winter Assault",9310,Relic Entertainment,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2006
BioShock™,7670,"2K Boston,2K Australia",0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2007
"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",4570,Relic Entertainment,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2006
"Warhammer® 40,000: Dawn of War® - Dark Crusade",4580,Relic Entertainment,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2006
Rome: Total War™ - Collection,4760,The Creative Assembly,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2004
Rome: Total War™ - Alexander,4770,The Creative Assembly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2006
Mystery Case Files: Madame Fate®,50970,Big Fish Games,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
Grand Theft Auto,12170,Rockstar North,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1998
Grand Theft Auto 2,12180,Rockstar North,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1999
Manhunt,12130,Rockstar North,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
Midnight Club 2,12160,Rockstar San Diego,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2003
Max Payne 2: The Fall of Max Payne,12150,Remedy Entertainment,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003
Tomb Raider: Legend,7000,Crystal Dynamics,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006
Max Payne,12140,Remedy Entertainment,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001
Command & Conquer: Red Alert 3,17480,EA Los Angeles,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2008
PuzzleQuest: Challenge of the Warlords,12500,Infinite Interactive,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2007
Culpa Innata,12310,Momentum Digital Media Technologies,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2007
Prison Tycoon 3™: Lockdown,12510,"Gamebryo,Virtual Playground",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2007
Hunting Unlimited™ 2008,12530,SCS Software,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2007
18 Wheels of Steel: American Long Haul,12520,SCS Software,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2007
Conflict: Denied Ops,8100,Pivotal Games,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
ARMA: Combat Operations,2780,Bohemia Interactive,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2007
Tycoon City: New York,9730,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2006
Desperados 2: Cooper's Revenge,9710,Spellbound,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2006
Death to Spies,9800,Haggard Games,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
Act of War: High Treason,9760,Eugen Systems,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2006
RollerCoaster Tycoon® 3: Platinum,2700,"Frontier,Aspyr (Mac)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2006
Act of War: Direct Action,2710,Eugen Systems,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2005
Unreal 2: The Awakening,13200,"Epic Games, Inc.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003
Unreal Gold,13250,"Epic Games, Inc.",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1998
Ninja Reflex: Steamworks Edition,13000,Sanzaru Games,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2008
Tom Clancy's Splinter Cell®,13560,Ubisoft,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003
Far Cry®,13520,Crytek Studios,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
Unreal Tournament: Game of the Year Edition,13240,"Epic Games, Inc.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000
Tom Clancy's Rainbow Six® Vegas,13540,Ubisoft Montreal,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006
Silent Hunter® III,15210,Ubisoft,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2005
Virtual Villagers - The Secret City,16180,Last Day of Work,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2008
Mystery P.I.™ - The Vegas Heist,3520,SpinTop Games,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
Luxor,15970,MumboJumbo,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
Reaxxion,15950,MumboJumbo,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
Little Farm,15960,MumboJumbo,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
7 Wonders II,15900,MumboJumbo,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
Luxor Amun Rising,15910,MumboJumbo,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005
Luxor 3,15930,MumboJumbo,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
Petz® Horsez® 2,15160,Ubisoft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2007
Luxor 2,15920,MumboJumbo,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005
Rayman Raving Rabbids™,15080,"Ubisoft Bulgaria,Ubisoft Montpellier",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
Silent Hunter®: Wolves of the Pacific,15200,Ubisoft Romania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2007
IL-2 Sturmovik: 1946,15320,1C: Maddox Games,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2006
Silent Hunter®: Wolves of the Pacific U-Boat Missions,15240,Ubisoft Romania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2008
Bone: Out From Boneville,8310,Telltale Games,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005
Midnight Outlaw: 6 Hours to SunUp,12600,"Merscom,Babylon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2005
Bone: The Great Cow Race,8320,Telltale Games,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006
Sprint Cars Road to Knoxville,12590,BigAnt Studios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2008
Dr. Daisy Pet Vet,12580,Zemnott,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
Ride! Carnival Tycoon,12560,Gabriel Entertainment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2007
Hot Dish,12570,Zemnott,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
Mahjongg Investigations: Under Suspicion,12540,Zemnott,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
Dracula Origin,11050,Frogwares,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
Beijing 2008™ - The Official Video Game of the Olympic Games,10520,Eurocom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2008
Sherlock Holmes - Nemesis,11040,Frogwares,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2008
Eternity's Child,19500,"Luc Bernard,SilverSphereStudios",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2008
Pacific Storm Allies,11260,Lesta Studio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2007
Tank Universal,19200,Dialogue Design,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2008
FlatOut: Ultimate Carnage,12360,Bugbear Entertainment,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2008
Oddworld: Abe's Exoddus®,15710,Oddworld Inhabitants,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1998
Oddworld: Abe's Oddysee®,15700,Oddworld Inhabitants,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997
GTR Evolution Expansion Pack for RACE 07,8660,SimBin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2008
X-COM: Enforcer,7770,"MicroProse Software, Inc",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2001
X-COM: Apocalypse,7660,"MicroProse Software, Inc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1997
X-COM: UFO Defense,7760,"MicroProse Software, Inc",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1993
S.T.A.L.K.E.R.: Clear Sky,20510,GSC Game World,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2008
Crysis Warhead®,17330,Crytek,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
Crysis,17300,Crytek,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
X-COM: Interceptor,7730,"MicroProse Software, Inc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1998
The Witcher: Enhanced Edition Director's Cut,20900,CD PROJEKT RED,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2008
Multiwinia,1530,Introversion Software,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2008
STCC - The Game 1 - Expansion Pack for RACE 07,8690,SimBin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2008
Children of the Nile: Alexandria,17120,"Tilted Mill Entertainment, Inc.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2008
Sid Meier's Civilization IV: Colonization,16810,Firaxis Games,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2008
Tom Clancy's Rainbow Six® 3 Gold,19830,"Red Storm Entertainment,Ubisoft Montreal",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2003
LEGO Batman,21000,Traveller's Tales,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
City Life 2008,4460,Monte Cristo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2008
Hinterland,17140,"Tilted Mill Entertainment, Inc.",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2008
Brothers in Arms: Hell's Highway™,15390,Gearbox Software,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2008
Gravitron 2,21300,Dark Castle Software,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2008
Xpand Rally Xtreme,3050,Techland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2006
Heroes of Might & Magic V: Hammers of Fate,15380,Nival,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2006
Brothers in Arms: Earned in Blood™,19800,Gearbox Software,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2005
Heroes of Might & Magic V: Tribes of the East,15370,Nival,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2007
The Settlers®: Rise Of An Empire Gold Edition,19930,Blue Byte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2008
Brain Spa,15350,Ubisoft,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
The Sum of All Fears,19810,Red Storm Entertainment,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002
Peggle™ Nights,3540,"PopCap Games, Inc.",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
World of Goo,22000,2D BOY,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2008
X3: Terran Conflict,2820,Egosoft,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2008
Mare Nostrum,1230,Sandstorm Productions,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2008
Spectraball,18300,Shorebound Studios,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2008
Galactic Bowling,20200,Perpetual FX Creative,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2008
Bully: Scholarship Edition,12200,Rockstar New England,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2008
Far Cry® 2: Fortune's Edition,19900,Ubisoft Montreal,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2008
Space Trader: Merchant Marine,11240,Meridian4,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2008
PRR Wagon Pack 01,256522,RailSimulator.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2009
"Class 421 London South East ""Jaffa Cake""",275144,RailSimulator.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2009
ATSF Wagon Pack 01,256521,RailSimulator.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2009
GP20 Union Pacific Add-on Livery,222569,Reppo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2009
UK Van Wagon Pack,256535,RailSimulator.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2009
CSX SD70MAC Add-on Livery,256611,Dovetail Games,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2009
CSX ES44AC Add-on Livery,256576,Dovetail Games,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2009
Saints Row 2,9480,Volition,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
