app_name,price,id,developer,Accounting,Action,Adventure,Animation &amp; Modeling,Audio Production,Casual,Design &amp; Illustration,Early Access,Education,Free to Play,Indie,Massively Multiplayer,Photo Editing,RPG,Racing,Simulation,Software Training,Sports,Strategy,Utilities,Video Production,Web Publishing,Year
Bitcoin Clicker,0.99,716110,"lalalaZero,Urbanoff",0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2018.0
Disciples II: Gallean's Return,6.99,1640,Strategy First,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2006.0
Disciples II: Rise of the Elves,6.99,1630,Strategy First,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2006.0
The Ship: Murder Party,9.99,2400,Outerlight Ltd.,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,2006.0
Idle Adventure,0.0,714020,"zha7,Phaedruns,Yingke Wu",0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,
Souland,7.99,759920,Ultraint,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2017.0
TAROTICA VOO DOO,10.99,603280,TPM.CO SOFT WORKS,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2017.0
Chronicles of Vinland,9.99,753110,Wonderbox Games,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2017.0
Orbitality,9.99,753100,Wonderbox Games,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2017.0
Atomic Adam: Episode 1,1.99,764280,Mad Unicorn Games,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017.0
Mirt. Tales of the Cold Land. Chapter 2,0.99,758550,Emanon Studios,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2017.0
Advent Rising,9.99,3800,GlyphX Games,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005.0
DEFCON,9.99,1520,Introversion Software,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2006.0
The Ship: Single Player,9.99,2420,Outerlight Ltd.,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2006.0
Garry's Mod,9.99,4000,Facepunch Studios,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,2006.0
RACE - The WTCC Game,39.99,4230,SimBin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2006.0
Zen of Sudoku,0.0,4900,Unknown Worlds Entertainment,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2006.0
Gumboy - Crazy Adventures™,4.99,2520,"CINEMAX, s.r.o.",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2006.0
Ghost Master®,4.99,6200,Sick Puppies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2003.0
Vegas: Make It Big™,4.99,6210,Deepred,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2006.0
Dreamfall: The Longest Journey,19.99,6300,Funcom,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2006.0
FlatOut 2™,9.99,2990,Bugbear Entertainment,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2006.0
FlatOut,7.49,6220,Bugbear Entertainment,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2005.0
Lost Planet™: Extreme Condition,14.99,6510,"CAPCOM Co., Ltd.",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007.0
CivCity: Rome,9.99,3980,"FireFly Studios,Firaxis Games",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2006.0
Arx Fatalis,4.99,1700,Arkane Studios,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2002.0
The Longest Journey,9.99,6310,Funcom,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2000.0
Civilization IV®: Warlords,4.99,3990,Firaxis Games,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2006.0
Railroad Tycoon 3,9.99,7610,PopTop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2003.0
Sid Meier's Railroads!,9.99,7600,"Firaxis Games,Feral Interactive (Mac)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2006.0
Railroad Tycoon II Platinum,4.99,7620,PopTop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1998.0
RIP - Trilogy™,4.99,2540,Elephant Games,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2007.0
X-COM: Terror From the Deep,4.99,7650,"MicroProse Software, Inc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1995.0
Tomb Raider: Anniversary,8.99,8000,"Crystal Dynamics,Feral Interactive (Mac)",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007.0
Devil May Cry® 3 Special Edition,19.99,6550,"CAPCOM Co., Ltd.",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006.0
Sam & Max 101: Culture Shock,19.99,8200,Telltale Games,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006.0
Final DOOM,4.99,2290,id Software,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1996.0
Sam & Max 102: Situation: Comedy,19.99,8210,Telltale Games,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006.0
Ultimate Doom,4.99,2280,id Software,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995.0
Master Levels for Doom II,14.99,9160,id Software,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995.0
DOOM II,4.99,2300,id Software,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1994.0
Wolfenstein 3D,4.99,2270,id Software,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1994.0
Return to Castle Wolfenstein,4.99,9010,Gray Matter Studios,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001.0
QUAKE Mission Pack 1: Scourge of Armagon,2.99,9040,Ritual Entertainment,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997.0
Spear of Destiny,2.99,9000,id Software,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1993.0
BloodRayne,9.99,3810,Terminal Reality,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003.0
QUAKE Mission Pack 2: Dissolution of Eternity,2.99,9030,Rogue Entertainment,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007.0
QUAKE,4.99,2310,id Software,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007.0
Genesis Rising,4.99,3230,Metamorf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2007.0
"Warhammer® 40,000: Dawn of War® – Winter Assault",12.99,9310,Relic Entertainment,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2006.0
BioShock™,19.99,7670,"2K Boston,2K Australia",0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2007.0
"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",12.99,4570,Relic Entertainment,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2006.0
"Warhammer® 40,000: Dawn of War® - Dark Crusade",12.99,4580,Relic Entertainment,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2006.0
Rome: Total War™ - Collection,9.99,4760,The Creative Assembly,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2004.0
Rome: Total War™ - Alexander,4.99,4770,The Creative Assembly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2006.0
Mystery Case Files: Madame Fate®,6.99,50970,Big Fish Games,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007.0
Grand Theft Auto 2,0.0,12180,Rockstar North,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1999.0
Manhunt,9.99,12130,Rockstar North,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004.0
Midnight Club 2,9.99,12160,Rockstar San Diego,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2003.0
Max Payne 2: The Fall of Max Payne,9.99,12150,Remedy Entertainment,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003.0
Tomb Raider: Legend,6.99,7000,Crystal Dynamics,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006.0
Max Payne,9.99,12140,Remedy Entertainment,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001.0
Command & Conquer: Red Alert 3,19.99,17480,EA Los Angeles,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2008.0
PuzzleQuest: Challenge of the Warlords,9.99,12500,Infinite Interactive,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2007.0
Culpa Innata,9.99,12310,Momentum Digital Media Technologies,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2007.0
Prison Tycoon 3™: Lockdown,9.99,12510,"Gamebryo,Virtual Playground",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2007.0
Hunting Unlimited™ 2008,9.99,12530,SCS Software,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2007.0
18 Wheels of Steel: American Long Haul,9.99,12520,SCS Software,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2007.0
Conflict: Denied Ops,5.99,8100,Pivotal Games,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008.0
ARMA: Combat Operations,7.99,2780,Bohemia Interactive,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2007.0
Tycoon City: New York,9.99,9730,Retroism,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2006.0
Desperados 2: Cooper's Revenge,9.99,9710,Spellbound,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2006.0
Death to Spies,4.99,9800,Haggard Games,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007.0
Act of War: High Treason,2.99,9760,Eugen Systems,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2006.0
RollerCoaster Tycoon® 3: Platinum,19.99,2700,"Frontier,Aspyr (Mac)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2006.0
Act of War: Direct Action,2.99,2710,Eugen Systems,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2005.0
Unreal 2: The Awakening,14.99,13200,"Epic Games, Inc.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003.0
Unreal Gold,9.99,13250,"Epic Games, Inc.",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1998.0
Ninja Reflex: Steamworks Edition,4.99,13000,Sanzaru Games,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2008.0
Tom Clancy's Splinter Cell®,9.99,13560,Ubisoft,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003.0
Far Cry®,9.99,13520,Crytek Studios,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004.0
Unreal Tournament: Game of the Year Edition,9.99,13240,"Epic Games, Inc.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000.0
Tom Clancy's Rainbow Six® Vegas,9.99,13540,Ubisoft Montreal,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006.0
Silent Hunter® III,9.99,15210,Ubisoft,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2005.0
Virtual Villagers - The Secret City,9.99,16180,Last Day of Work,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2008.0
Mystery P.I.™ - The Vegas Heist,4.99,3520,SpinTop Games,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008.0
Luxor,9.99,15970,MumboJumbo,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008.0
Reaxxion,9.99,15950,MumboJumbo,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008.0
Little Farm,9.99,15960,MumboJumbo,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008.0
7 Wonders II,9.99,15900,MumboJumbo,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008.0
Luxor Amun Rising,9.99,15910,MumboJumbo,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005.0
Luxor 3,9.99,15930,MumboJumbo,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007.0
Petz® Horsez® 2,9.99,15160,Ubisoft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2007.0
Luxor 2,9.99,15920,MumboJumbo,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005.0
Rayman Raving Rabbids™,9.99,15080,"Ubisoft Bulgaria,Ubisoft Montpellier",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007.0
Silent Hunter®: Wolves of the Pacific,9.99,15200,Ubisoft Romania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2007.0
IL-2 Sturmovik: 1946,9.99,15320,1C: Maddox Games,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2006.0
Silent Hunter®: Wolves of the Pacific U-Boat Missions,9.99,15240,Ubisoft Romania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2008.0
Bone: Out From Boneville,9.99,8310,Telltale Games,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005.0
Midnight Outlaw: 6 Hours to SunUp,9.99,12600,"Merscom,Babylon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2005.0
Bone: The Great Cow Race,9.99,8320,Telltale Games,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006.0
Sprint Cars Road to Knoxville,9.99,12590,BigAnt Studios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2008.0
Dr. Daisy Pet Vet,9.99,12580,Zemnott,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008.0
Ride! Carnival Tycoon,9.99,12560,Gabriel Entertainment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2007.0
Hot Dish,9.99,12570,Zemnott,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008.0
Mahjongg Investigations: Under Suspicion,9.99,12540,Zemnott,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007.0
Dracula Origin,9.99,11050,Frogwares,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008.0
Sherlock Holmes - Nemesis,9.99,11040,Frogwares,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2008.0
Eternity's Child,4.99,19500,"Luc Bernard,SilverSphereStudios",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2008.0
Pacific Storm Allies,7.99,11260,Lesta Studio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2007.0
Tank Universal,4.99,19200,Dialogue Design,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2008.0
FlatOut: Ultimate Carnage,19.99,12360,Bugbear Entertainment,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2008.0
Oddworld: Abe's Exoddus®,2.99,15710,Oddworld Inhabitants,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1998.0
Oddworld: Abe's Oddysee®,2.99,15700,Oddworld Inhabitants,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997.0
GTR Evolution Expansion Pack for RACE 07,7.99,8660,SimBin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2008.0
X-COM: Enforcer,4.99,7770,"MicroProse Software, Inc",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2001.0
X-COM: Apocalypse,4.99,7660,"MicroProse Software, Inc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1997.0
X-COM: UFO Defense,4.99,7760,"MicroProse Software, Inc",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1993.0
S.T.A.L.K.E.R.: Clear Sky,9.99,20510,GSC Game World,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2008.0
Crysis Warhead®,19.99,17330,Crytek,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008.0
Crysis,19.99,17300,Crytek,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007.0
X-COM: Interceptor,4.99,7730,"MicroProse Software, Inc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1998.0
The Witcher: Enhanced Edition Director's Cut,9.99,20900,CD PROJEKT RED,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2008.0
Multiwinia,9.99,1530,Introversion Software,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2008.0
STCC - The Game 1 - Expansion Pack for RACE 07,2.99,8690,SimBin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2008.0
Children of the Nile: Alexandria,2.49,17120,"Tilted Mill Entertainment, Inc.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2008.0
Sid Meier's Civilization IV: Colonization,19.99,16810,Firaxis Games,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2008.0
Tom Clancy's Rainbow Six® 3 Gold,9.99,19830,"Red Storm Entertainment,Ubisoft Montreal",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2003.0
LEGO Batman,19.99,21000,Traveller's Tales,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008.0
City Life 2008,9.99,4460,Monte Cristo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2008.0
Hinterland,9.99,17140,"Tilted Mill Entertainment, Inc.",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2008.0
Brothers in Arms: Hell's Highway™,9.99,15390,Gearbox Software,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2008.0
Gravitron 2,4.99,21300,Dark Castle Software,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2008.0
Xpand Rally Xtreme,4.99,3050,Techland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2006.0
Heroes of Might & Magic V: Hammers of Fate,9.99,15380,Nival,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2006.0
Brothers in Arms: Earned in Blood™,9.99,19800,Gearbox Software,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2005.0
Heroes of Might & Magic V: Tribes of the East,9.99,15370,Nival,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2007.0
The Settlers®: Rise Of An Empire Gold Edition,19.99,19930,Blue Byte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2008.0
Brain Spa,9.99,15350,Ubisoft,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007.0
The Sum of All Fears,9.99,19810,Red Storm Entertainment,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002.0
Peggle™ Nights,4.99,3540,"PopCap Games, Inc.",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008.0
World of Goo,9.99,22000,2D BOY,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2008.0
X3: Terran Conflict,15.99,2820,Egosoft,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2008.0
Mare Nostrum,0.0,1230,Sandstorm Productions,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2008.0
Spectraball,4.99,18300,Shorebound Studios,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2008.0
Galactic Bowling,19.99,20200,Perpetual FX Creative,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2008.0
Bully: Scholarship Edition,14.99,12200,Rockstar New England,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2008.0
Far Cry® 2: Fortune's Edition,9.99,19900,Ubisoft Montreal,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2008.0
Space Trader: Merchant Marine,4.99,11240,Meridian4,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2008.0
PRR Wagon Pack 01,4.99,256522,RailSimulator.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2009.0
"Class 421 London South East ""Jaffa Cake""",4.99,275144,RailSimulator.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2009.0
